County,WeekStartDate,ProbableCases,ConfirmedCases,7-Day Count,7-Day Average,Age 0-19,Age 20-34,Age 35-49,Age 50-64,Age 65-79,Age 80+,UnknownAge,14-Day Count,14-Day Case Rate,dtm_updated
Adams County,3/15/2020,0,3,3,0.43,0,0,2,1,0,0,0,16,78.24,2021/06/01 13:58:42
Adams County,3/22/2020,0,13,13,1.86,0,2,5,1,5,0,0,30,146.7,2021/06/01 13:58:42
Adams County,3/29/2020,0,17,17,2.43,2,5,5,3,2,0,0,25,122.25,2021/06/01 13:58:42
Adams County,4/5/2020,0,8,8,1.14,1,2,2,2,1,0,0,10,48.9,2021/06/01 13:58:42
Adams County,4/12/2020,0,2,2,0.29,0,1,0,1,0,0,0,6,29.34,2021/06/01 13:58:42
Adams County,4/19/2020,0,4,4,0.57,0,4,0,0,0,0,0,6,29.34,2021/06/01 13:58:42
Adams County,4/26/2020,0,2,2,0.29,0,1,1,0,0,0,0,3,14.67,2021/06/01 13:58:42
Adams County,5/3/2020,0,1,1,0.14,1,0,0,0,0,0,0,2,9.78,2021/06/01 13:58:42
Adams County,5/10/2020,0,1,1,0.14,0,0,0,1,0,0,0,7,34.23,2021/06/01 13:58:42
Adams County,5/17/2020,0,6,6,0.86,0,1,4,1,0,0,0,23,112.47,2021/06/01 13:58:42
Adams County,5/24/2020,0,17,17,2.43,2,9,0,5,1,0,0,31,151.59,2021/06/01 13:58:42
Adams County,5/31/2020,0,14,14,2,5,4,5,0,0,0,0,26,127.14,2021/06/01 13:58:42
Adams County,6/7/2020,0,12,12,1.71,1,2,2,5,1,0,1,25,122.25,2021/06/01 13:58:42
Adams County,6/14/2020,0,13,13,1.86,1,4,2,5,1,0,0,42,205.38,2021/06/01 13:58:42
Adams County,6/21/2020,0,29,29,4.14,0,13,5,8,3,0,0,83,405.87,2021/06/01 13:58:42
Adams County,6/28/2020,0,54,54,7.71,14,9,9,18,3,1,0,112,547.68,2021/06/01 13:58:42
Adams County,7/5/2020,0,58,58,8.29,17,22,9,7,1,2,0,124,606.36,2021/06/01 13:58:42
Adams County,7/12/2020,0,66,66,9.43,14,18,17,11,4,2,0,118,577.02,2021/06/01 13:58:42
Adams County,7/19/2020,0,52,52,7.43,13,10,8,6,5,10,0,86,420.54,2021/06/01 13:58:42
