,date,price,area,pps,address
1,5/18/2021,2970000,"3,160",940,"1935 10th Ave E, Seattle, WA 98102"
2,5/17/2021,1350000,"3,010",449,"2814 NW 59th St, Seattle, WA 98107"
3,5/17/2021,535000,"1,600",334,"11734 Daniel Pl NE, Seattle, WA 98125"
4,5/17/2021,545000,812,671,"2101 N 55th St #308, Seattle, WA 98103"
5,5/17/2021,1955000,"2,940",665,"4007 49th Ave S, Seattle, WA 98118"
6,5/17/2021,1900000,"2,429",782,"505 W Mercer Pl #300, Seattle, WA 98119"
7,5/15/2021,803000,"1,610",499,"2660 S Morgan St, Seattle, WA 98108"
8,5/15/2021,2400000,"3,107",772,"2033 11th Ave E, Seattle, WA 98102"
9,5/15/2021,2425000,"3,506",692,"2107 9th Ave W, Seattle, WA 98119"
10,5/13/2021,450000,665,677,"730 Bellevue Ave E #PH5, Seattle, WA 98102"
11,5/13/2021,1475000,"2,913",506,"3215 W Lynn St, Seattle, WA 98199"
12,5/13/2021,1009000,"1,380",731,"3216 NW 73rd St, Seattle, WA 98117"
13,5/12/2021,530000,"1,087",488,"9222 Roosevelt Way NE #305, Seattle, WA 98115"
14,5/12/2021,1550000,"2,900",534,"3722 W Armour Pl, Seattle, WA 98199"
15,5/11/2021,750000,"1,920",391,"5214 35th Ave NE, Seattle, WA 98105"
16,5/11/2021,1250000,"2,300",543,"5018 35th Ave NE, Seattle, WA 98105"
17,5/11/2021,1357000,"2,540",534,"8631 Island Dr S, Seattle, WA 98118"
18,5/11/2021,1360000,"2,390",569,"2034 Federal Ave E, Seattle, WA 98102"
19,5/11/2021,722000,"1,250",578,"11018 28th Ave SW, Seattle, WA 98146"
20,5/11/2021,1267000,"2,020",627,"7046 24th Ave NW, Seattle, WA 98117"
21,5/11/2021,1350000,"2,245",601,"3240 13th Ave W, Seattle, WA 98119"
22,5/11/2021,2725000,"4,190",650,"6046 Ann Arbor Ave NE, Seattle, WA 98115"
23,5/11/2021,450000,"1,107",407,"7307 Sand Point Way NE #613, Seattle, WA 98115"
24,5/11/2021,725000,"1,170",620,"11347 15th Ave NE, Seattle, WA 98125"
25,5/11/2021,791000,"1,690",468,"4351 Jill Pl S, Seattle, WA 98108"
26,5/11/2021,330000,419,788,"819 Virginia St #2108, Seattle, WA 98101"
27,5/10/2021,949000,"1,815",523,"8330 Dibble Ave NW #A, Seattle, WA 98117"
28,5/10/2021,910100,"2,180",417,"5916 44th Ave SW, Seattle, WA 98136"
29,5/10/2021,1459119,"2,790",523,"7119 Dayton Ave N, Seattle, WA 98103"
30,5/10/2021,2150000,"3,200",672,"2522 Shoreland Dr S, Seattle, WA 98144"
31,5/10/2021,1060000,"1,810",586,"6026 40th Ave NE, Seattle, WA 98115"
32,5/10/2021,651000,970,671,"4512 49th Ave SW, Seattle, WA 98116"
